snapshot,CCGT,OCGT,Offshore wind,Onshore wind,Solar,battery storage,pumped hydro
2015-03-19 05:00:00,68983.23715684071,48480.44597592497,19395.48824366016,39876.61852257381,1132.5691818269752,8110.435570469541,9391.756708330298
2015-03-19 06:00:00,68983.23715684071,48480.44597592497,20155.15129415848,37758.74593290099,23840.670833405977,0.0,2163.349802035165
2015-03-19 07:00:00,66933.17089582275,7771.41037830627,17030.828999107434,38921.60838093975,63402.01621735715,0.0,-2696.4766567716865
2015-03-19 08:00:00,27727.413348857754,0.0,14769.762772586368,38192.45903531391,99486.84993985885,0.0,-3209.026207531915
2015-03-19 09:00:00,5961.282710985546,0.0,11217.082615401321,40315.04530099542,128988.45502693551,0.0,-19352.651349915624
2015-03-19 10:00:00,5961.282710985546,0.0,3619.573745937907,42966.235585207345,148651.93876175417,-9493.124269634245,-32816.75493076466
2015-03-19 11:00:00,5961.282710985546,0.0,8811.571779230635,45028.81922777398,156865.6172244543,-26280.06028327706,-39026.92053454144
2015-03-19 12:00:00,5961.282710985546,0.0,7696.212933551846,33633.14823033213,153519.63812430366,-25188.869081535184,-29165.2685479253
2015-03-19 13:00:00,5961.282710985546,0.0,8915.906586579156,31209.777471658752,138702.17082604952,-20232.24530902484,-22912.269494683547
2015-03-19 14:00:00,5961.282710985546,0.0,9472.698206746167,34451.10327352954,108638.70079591293,-737.7671482800042,-17812.030623124178
2015-03-19 15:00:00,29270.379109882637,1205.360764325991,10350.619228126883,31184.786443731784,68439.96000341116,0.0,0.0
2015-03-19 16:00:00,68983.23715684071,10504.465279743508,11380.665960204571,28605.18779776781,25869.17199016323,0.0,1479.3770677350478
2015-03-19 17:00:00,68983.23715684071,49899.01543053447,11600.789671350318,26324.48101573482,0.0,0.0,7550.149516795763
2015-03-19 18:00:00,68983.23715684071,51254.031551872744,13716.57095624782,27826.75064024561,0.0,6727.549581458703,9907.241916246878
2015-03-19 19:00:00,68983.23715684071,51254.031551872744,13969.770844737344,27100.218190351425,0.0,6854.676933635674,9382.702183501495
2015-03-19 20:00:00,68983.23715684071,51254.031551872744,12737.977541319648,25529.912094478404,0.0,4191.110411692337,16085.346824021857
2015-03-19 21:00:00,68983.23715684071,51254.031551872744,11006.455128090678,23641.417934189445,0.0,7796.9021267274875,15614.742458017812
2015-03-19 22:00:00,68983.23715684071,51254.031551872744,10278.925945011259,22173.23753690413,0.0,8264.130402818198,15006.558881880983
2015-03-19 23:00:00,68983.23715684071,51254.031551872744,10100.49208277476,20514.50547381393,0.0,8456.864189799879,15324.04038767974
2015-03-20 00:00:00,68983.23715684071,51254.031551872744,14675.032391071853,19379.727180330276,0.0,2981.2288226261808,17518.36684733724
2015-03-20 01:00:00,68983.23715684071,51254.031551872744,13000.538667911465,20168.46036645217,0.0,0.0,10054.891132063178
2015-03-20 02:00:00,68983.23715684071,51254.031551872744,10210.105585065252,20854.765043319025,0.0,12224.508024661445,16412.37888470023
2015-03-20 03:00:00,68983.23715684071,51254.031551872744,8910.14348546243,19494.846660396877,0.0,15927.864702904299,17841.086019657574
2015-03-20 04:00:00,68983.23715684071,51254.031551872744,8865.352588791728,18382.62952138557,0.0,4459.78683049461,12819.983150746486
2015-03-20 05:00:00,68983.23715684071,51254.031551872744,9203.960685434082,17559.464090476213,1835.5420290931631,0.0,15485.280075830871
2015-03-20 06:00:00,68983.23715684071,51254.031551872744,7214.601234173439,14731.929394634075,28707.777002580544,0.0,18586.554865716367
2015-03-20 07:00:00,68983.23715684071,27673.74700873567,7305.75135543712,16941.397735044047,73015.09123766275,0.0,3949.161641243962
2015-03-20 08:00:00,36748.05334518239,3053.00287743911,7156.465705853487,19447.5675206302,113739.34158610993,0.0,3275.3849483326044
2015-03-20 09:00:00,5961.282710985546,2773.585575947774,7560.934552158273,21128.030933311886,144735.56214218942,0.0,-9182.957899417388
2015-03-20 10:00:00,5961.282710985546,0.0,6534.353435116549,19631.035939197045,145129.3736090819,0.0,-13500.539756471258
2015-03-20 11:00:00,5961.282710985546,0.0,7577.981207611803,21296.48258495027,169369.7052999036,-32338.077276694472,-16936.37127732936
2015-03-20 12:00:00,4828.963672072212,2773.585575947774,6598.164349581528,15673.73613112472,143609.4595315284,-15672.511304859076,-8952.214392511836
2015-03-20 13:00:00,5961.282710985546,2554.9156143259897,14507.478134527462,17581.890942982653,140761.34902296477,-24621.997185318924,-8184.703699505597
2015-03-20 14:00:00,5961.282710985546,5775.022218539487,15042.680865916504,26458.652089815492,109785.19183669894,-9299.480324878872,-7000.0
2015-03-20 15:00:00,23427.34668133435,9679.164028660694,17725.470720826714,22747.871156186182,70289.54579787215,0.0,2957.727852492104
2015-03-20 16:00:00,63361.57375632829,9679.164028660694,21803.949120301768,20326.20154424386,27431.45216161047,0.0,10402.513932844886
2015-03-20 17:00:00,68983.23715684071,13706.986118627625,26902.932520062837,21496.918696172164,387.79450093716343,26932.562299647052,13500.921681074946
2015-03-20 18:00:00,68983.23715684071,43183.82034346648,37538.6532244544,26309.70419962795,0.0,0.0,10103.487589808341
2015-03-20 19:00:00,68983.23715684071,38950.656674470614,43810.06245193149,26912.130293376038,0.0,0.0,9823.028045215391
2015-03-20 20:00:00,68983.23715684071,37544.71649495948,49783.48147415518,27545.318765267,0.0,0.0,8336.600539424511
